Paso 1: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 125: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 126: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 127: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 128: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 129: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 130: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 131: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 132: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 133: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 134: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 135: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 136: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 137: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 138: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 139: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 140: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 141: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 142: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 143: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 144: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 145: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 146: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 147: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 148: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 149: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 150: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 151: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 152: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 153: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 154: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 155: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 156: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 157: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 158: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 159: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 160: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 161: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 162: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 163: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 164: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 165: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 166: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 167: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 168: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 169: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 170: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 171: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 172: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 173: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 174: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 175: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 176: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 177: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 178: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 179: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 180: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 181: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 182: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 183: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 184: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 185: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 186: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 187: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 188: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 189: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 190: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 191: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 192: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 193: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 194: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 195: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 196: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 197: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 198: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 199: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 200: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 201: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 202: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 203: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 204: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 205: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 206: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 207: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 208: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 209: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 210: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 211: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 212: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 213: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 214: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 215: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 216: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 217: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 218: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 219: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 220: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 221: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 222: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 223: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 224: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 225: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 226: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 227: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 228: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 229: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 230: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 231: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 232: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 233: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 234: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 235: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 236: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 237: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 238: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 239: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 240: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 241: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 242: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 243: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 244: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 245: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 246: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 247: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 248: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 249: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 250: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 251: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 252: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 253: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 254: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 255: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 256: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 257: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 258: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 259: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 260: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 261: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 262: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 263: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 264: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 265: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 266: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 267: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 268: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 269: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 270: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 271: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 272: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 273: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 274: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 275: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 276: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 277: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 278: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 279: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 280: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 281: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 282: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 283: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 284: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 285: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 286: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 287: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 288: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 289: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 290: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 291: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 292: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 293: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 294: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 295: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 296: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 297: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 298: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 299: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 300: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 301: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 302: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 303: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 304: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 305: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 306: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 307: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 308: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 309: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 310: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 311: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 312: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 313: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 314: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 315: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 316: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 317: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 318: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 319: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 320: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 321: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 322: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 323: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 324: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 325: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 326: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 327: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 328: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 329: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 330: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 331: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 332: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 333: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 334: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
